theme_id,name,theme_name,theme_level,parent_theme_id,theme_category,concentrated_ok
SEMI,半導體,半導體,1,,semiconductor,False
SEMI_FOUNDRY,晶圓代工,晶圓代工,2,SEMI,semiconductor,False
SEMI_COWOS,CoWoS,CoWoS,3,SEMI_FOUNDRY,semiconductor,True
SEMI_IC_DESIGN,IC設計,IC設計,2,SEMI,semiconductor,False
SEMI_ANALOG,類比IC,類比IC,3,SEMI_IC_DESIGN,semiconductor,False
SEMI_MCU,MCU,MCU,3,SEMI_IC_DESIGN,semiconductor,False
SEMI_RF,射頻IC,射頻IC,3,SEMI_IC_DESIGN,semiconductor,False
SEMI_PACKAGING,封裝測試,封裝測試,2,SEMI,semiconductor,False
SEMI_ADV_PACK,先進封裝,先進封裝,3,SEMI_PACKAGING,semiconductor,False
SEMI_ABF,ABF載板,ABF載板,3,SEMI_PACKAGING,semiconductor,True
SEMI_TEST,測試與探針,測試與探針,3,SEMI_PACKAGING,semiconductor,False
SEMI_MEMORY,記憶體,記憶體,2,SEMI,semiconductor,False
SEMI_DRAM,DRAM,DRAM,3,SEMI_MEMORY,semiconductor,False
SEMI_NAND,NAND,NAND,3,SEMI_MEMORY,semiconductor,False
SEMI_HBM,HBM,HBM,3,SEMI_MEMORY,semiconductor,True
SEMI_WAFER,矽晶圓,矽晶圓,2,SEMI,semiconductor,False
SEMI_EQUIP,半導體設備,半導體設備,2,SEMI,semiconductor,False
SEMI_MATERIALS,半導體材料,半導體材料,2,SEMI,semiconductor,False
SEMI_CHEM,製程化學品,製程化學品,3,SEMI_MATERIALS,semiconductor,False
SEMI_GAS,特用氣體,特用氣體,3,SEMI_MATERIALS,semiconductor,True
SEMI_COMPOUND,化合物半導體,化合物半導體,2,SEMI,semiconductor,False
AI_INFRA,AI基礎設施,AI基礎設施,1,,ai_infrastructure,False
AI_SERVER,AI伺服器,AI伺服器,2,AI_INFRA,ai_infrastructure,False
AI_GB200,GB200/GB300供應鏈,GB200/GB300供應鏈,3,AI_SERVER,ai_infrastructure,False
SERVER_ODM,伺服器ODM,伺服器ODM,2,AI_INFRA,ai_infrastructure,False
GPU_CHAIN,GPU供應鏈,GPU供應鏈,2,AI_INFRA,ai_infrastructure,True
AI_POWER,電源供應,電源供應,2,AI_INFRA,ai_infrastructure,False
AI_BBU,BBU備電,BBU備電,3,AI_POWER,ai_infrastructure,False
AI_COOLING,散熱,散熱,2,AI_INFRA,ai_infrastructure,False
AI_LIQUID,液冷,液冷,3,AI_COOLING,ai_infrastructure,False
AI_THERMAL,熱模組與風扇,熱模組與風扇,3,AI_COOLING,ai_infrastructure,False
AI_NETWORK,高速網路,高速網路,2,AI_INFRA,ai_infrastructure,False
AI_SWITCH,交換器,交換器,3,AI_NETWORK,ai_infrastructure,False
AI_800G,800G/1.6T網路,800G/1.6T網路,3,AI_NETWORK,ai_infrastructure,False
AI_CPO,CPO,CPO,3,AI_NETWORK,ai_infrastructure,True
AI_SIPH,矽光子,矽光子,3,AI_NETWORK,ai_infrastructure,True
AI_OPTICAL,光通訊,光通訊,3,AI_NETWORK,ai_infrastructure,False
AI_RACK,機櫃與機構,機櫃與機構,2,AI_INFRA,ai_infrastructure,False
COMPUTE,運算與PC,運算與PC,1,,computing,False
NB,筆電,筆電,2,COMPUTE,computing,False
AI_PC,AI PC,AI PC,2,COMPUTE,computing,False
MOTHERBOARD,主機板,主機板,2,COMPUTE,computing,False
GPU_ADDIN,顯示卡/GPU卡,顯示卡/GPU卡,2,COMPUTE,computing,False
IPC,工業電腦,工業電腦,2,COMPUTE,computing,False
ELEC,電子零組件,電子零組件,1,,electronics,False
PASSIVE,被動元件,被動元件,2,ELEC,electronics,False
MLCC,MLCC,MLCC,3,PASSIVE,electronics,False
INDUCTOR,電感,電感,3,PASSIVE,electronics,False
CONNECTOR,連接器,連接器,2,ELEC,electronics,False
PCB,PCB,PCB,2,ELEC,electronics,False
CCL,CCL銅箔基板,CCL銅箔基板,3,PCB,electronics,False
FPCB,軟板,軟板,3,PCB,electronics,False
PMIC,電源管理,電源管理,2,ELEC,electronics,False
BATTERY,電池,電池,2,ELEC,electronics,False
LED,LED,LED,2,ELEC,electronics,False
EMS,電子代工EMS,電子代工EMS,2,ELEC,electronics,False
DISPLAY,面板與光學,面板與光學,1,,display,False
PANEL,面板,面板,2,DISPLAY,display,False
DDIC,驅動IC,驅動IC,2,DISPLAY,display,False
OPTICS,光學鏡頭,光學鏡頭,2,DISPLAY,display,False
POLARIZER,偏光板,偏光板,2,DISPLAY,display,True
COMM,通訊,通訊,1,,communications,False
WIFI,Wi-Fi/網通IC,Wi-Fi/網通IC,2,COMM,communications,False
5G,5G與基地台,5G與基地台,2,COMM,communications,False
CPE,網通終端,網通終端,2,COMM,communications,False
CABLE,電纜與高速線,電纜與高速線,2,COMM,communications,False
AUTO,汽車,汽車,1,,auto,False
EV,電動車,電動車,2,AUTO,auto,False
CHARGING,充電樁,充電樁,2,AUTO,auto,False
ADAS,ADAS與車用電子,ADAS與車用電子,2,AUTO,auto,False
AUTO_PARTS,汽車零組件,汽車零組件,2,AUTO,auto,False
TIRE,輪胎,輪胎,2,AUTO,auto,False
ENERGY,能源,能源,1,,energy,False
SOLAR,太陽能,太陽能,2,ENERGY,energy,False
WIND,風力發電,風力發電,2,ENERGY,energy,False
STORAGE,儲能,儲能,2,ENERGY,energy,False
SMART_GRID,智慧電網,智慧電網,2,ENERGY,energy,False
INVERTER,變流器/電能轉換,變流器/電能轉換,2,ENERGY,energy,False
MATERIALS,原物料,原物料,1,,materials,False
STEEL,鋼鐵,鋼鐵,2,MATERIALS,materials,False
PETROCHEM,石化,石化,2,MATERIALS,materials,False
CEMENT,水泥,水泥,2,MATERIALS,materials,False
PLASTIC,塑膠,塑膠,2,MATERIALS,materials,False
CHEM,化學工業,化學工業,2,MATERIALS,materials,False
RUBBER,橡膠,橡膠,2,MATERIALS,materials,False
PAPER,紙業,紙業,2,MATERIALS,materials,False
GLASS,玻璃,玻璃,2,MATERIALS,materials,False
TEXTILE,紡織,紡織,2,MATERIALS,materials,False
INDUSTRIAL,工業,工業,1,,industrial,False
MACHINERY,機械,機械,2,INDUSTRIAL,industrial,False
AUTOMATION,自動化,自動化,2,INDUSTRIAL,industrial,False
ROBOTICS,機器人,機器人,2,INDUSTRIAL,industrial,False
TOOLING,工具與量測,工具與量測,2,INDUSTRIAL,industrial,False
TRANSPORT,運輸,運輸,1,,transport,False
SHIPPING,航運,航運,2,TRANSPORT,transport,False
CONTAINER,貨櫃航運,貨櫃航運,3,SHIPPING,transport,False
BULK,散裝航運,散裝航運,3,SHIPPING,transport,False
AIRLINE,航空,航空,2,TRANSPORT,transport,False
AIRPORT,空港地勤,空港地勤,2,TRANSPORT,transport,True
LOGISTICS,物流,物流,2,TRANSPORT,transport,False
FINANCIAL,金融,金融,1,,financial,False
FHOLDING,金控,金控,2,FINANCIAL,financial,False
BANK,銀行,銀行,2,FINANCIAL,financial,False
INSURANCE,保險,保險,2,FINANCIAL,financial,False
SECURITIES,證券,證券,2,FINANCIAL,financial,False
LEASING,租賃,租賃,2,FINANCIAL,financial,False
PROPERTY,營建地產,營建地產,1,,property,False
CONSTRUCTION,營造,營造,2,PROPERTY,property,False
DEVELOPER,建設,建設,2,PROPERTY,property,False
BUILDING_MAT,建材,建材,2,PROPERTY,property,False
CONSUMER,消費,消費,1,,consumer,False
FOOD,食品,食品,2,CONSUMER,consumer,False
RETAIL,通路零售,通路零售,2,CONSUMER,consumer,False
FOOTWEAR,鞋類與運動,鞋類與運動,2,CONSUMER,consumer,False
BICYCLE,自行車,自行車,2,CONSUMER,consumer,False
TOURISM,觀光餐旅,觀光餐旅,2,CONSUMER,consumer,False
HEALTH,醫療生技,醫療生技,1,,healthcare,False
BIOPHARMA,製藥生技,製藥生技,2,HEALTH,healthcare,False
CDMO,CDMO,CDMO,2,HEALTH,healthcare,False
DEVICE,醫材,醫材,2,HEALTH,healthcare,False
HOSPITAL,醫院,醫院,2,HEALTH,healthcare,True
EMERGING,新興主題,新興主題,1,,emerging,False
DRONE,無人機,無人機,2,EMERGING,emerging,True
DEFENSE,國防,國防,2,EMERGING,emerging,False
SATELLITE,衛星,衛星,2,EMERGING,emerging,True
HYDROGEN,氫能,氫能,2,EMERGING,emerging,True
TECH_CH,科技通路,科技通路,1,,tech_channel,False
IC_DIST,IC通路,IC通路,2,TECH_CH,tech_channel,False
IT_DIST,資訊通路,資訊通路,2,TECH_CH,tech_channel,False
